franja,maximo_ier,media_ier,mediana_ier,percentil_95_ier
General,0.6660165530136438,0.04281590464954041,3.995467245215685e-06,0.25150427476757453
Madrugada,0.33990318227803834,0.02390802582962577,4.6599359541921325e-07,0.13808080986349297
Mañana,0.5278237825193735,0.04033065649781879,2.3230990524514162e-06,0.24301182081823428
Tarde,1.0,0.05213410584761275,1.0553155824781218e-06,0.3064161230466898
Noche,0.8207062291184727,0.054611601146574894,3.5185503600646096e-06,0.322891021162003
